emotion,title_en,title_ko,description_en,description_ko,keywords_en,keywords_ko
Joy,Your smile brightens the world even more,당신의 웃음은 세상을 더 환하게 밝혀요,"Do you realize how much meaning your simple, unintentional smile carries?
That smile is a testament to all the hardships you’ve overcome throughout your life.
Being able to smile means your heart is already a little lighter,
and that lightness becomes the strength you need to keep moving forward.

Your smile doesn’t just belong to you.
There are people who feel comfort simply by seeing you smile brightly.
So if something makes you laugh today, don’t hold back—let yourself enjoy it fully.
That warmth will spread to those around you, gently touching their hearts as well.","당신이 무심코 지은 미소 하나가 사실은 큰 의미를 담고 있다는 걸 알고 있나요?
그 웃음은 당신이 살아가는 동안 마주한 수많은 고단함을 이겨낸 증거이기도 해요.
웃을 수 있다는 건 이미 마음이 조금은 가벼워졌다는 뜻이고,
그 작은 가벼움이 또다시 하루를 살아갈 힘이 되어준답니다.

당신의 웃음은 그저 당신만의 것이 아니에요.
당신이 환하게 웃는 모습을 보고 위로받는 이들이 있어요.
혹시 오늘 웃을 일이 생긴다면, 주저하지 말고 마음껏 웃어보세요.
그 따뜻함이 당신 주변까지 스며들어 또 다른 사람의 마음도 살포시 어루만져 줄 거예요.","smile, warmth, comfort","웃음, 따뜻함, 위로"
Joy,Don’t let today’s happiness slip away,오늘 느끼는 행복을 놓치지 말아주세요,"Perhaps right now, in an otherwise ordinary day,
you’ve noticed a quiet joy sneak in.
Don’t brush it off thinking it’s nothing.
These subtle moments are the precious pieces that fortify your life.

Hold today’s happiness gently in your heart instead of letting it pass.
Someday, when you feel worn out, it will become a small lantern you can light again.","어쩌면 당신은 지금, 평소와 다를 바 없는 하루 속에서
작게 스며든 기쁨을 발견했을지도 몰라요.
그 작은 행복을 ‘별일 아니야’ 하고 흘려보내지 마세요.
사실 그런 순간들이 당신의 삶을 더욱 단단하게 지켜주는 소중한 조각들이에요.

오늘 느낀 행복을 가볍게 넘기지 말고 마음에 담아두세요.
그것이 언젠가 당신이 지칠 때 꺼내어 볼 수 있는 작은 등불이 되어줄 거예요.","happiness, moment, memory","행복, 순간, 기억"
Joy,Your happiness is never small,당신의 행복은 결코 작지 않아요,"Sometimes we tend to belittle our own joy.
We even question ourselves, “Do I deserve to be this happy?”
But the simple happiness you feel is never small.
It’s actually a vital force that makes your life richer and more luminous.

So today, allow yourself to fully embrace that joy.
You absolutely deserve it.","가끔 우리는 자신의 기쁨을 너무 작게 여기곤 해요.
‘이 정도로 행복해도 되나?’ 하고 스스로를 의심할 때도 있죠.
하지만 당신이 느끼는 그 사소한 행복은 결코 작지 않아요.
그것은 오히려 당신 삶을 더 풍요롭고 빛나게 해주는 중요한 에너지예요.

그러니 오늘만큼은 마음껏 행복해 보세요.
그 행복은 충분히 당신이 누릴 가치가 있는 거랍니다.","happiness, worth, richness","행복, 가치, 풍요"
Joy,It’s okay to fully feel your joy,기쁨을 충분히 느껴도 괜찮아요,"When joy comes to us, sometimes a quiet worry sneaks in—
“What if this happiness doesn’t last?”
So often, that fear keeps us from truly feeling the joy that’s right there.

But it’s perfectly okay to embrace this happiness even more.
Even if it doesn’t last long, the moment itself was real.
Today, give yourself permission to enjoy it wholeheartedly.
“It’s okay to feel this happy—I truly deserve it.”","기쁨이 찾아올 때 우리는 괜히 마음 한켠이 조마조마해지곤 하죠.
‘혹시 이 행복이 금방 사라지면 어떡하지?’ 하고 두려워서
행복 그 자체를 깊이 느끼지 못할 때가 많아요.

하지만 지금 느끼는 기쁨을 더 만끽해도 괜찮아요.
행복이 오래가지 않더라도, 그 순간은 진짜였으니까요.
오늘은 스스로에게 기꺼이 허락해 주세요.
“조금 더 기뻐도 괜찮아, 나는 충분히 그럴 자격이 있어.”","joy, permission, moment","기쁨, 허락, 순간"
Joy,Small joys come together to make great happiness,작은 기쁨이 모여 큰 행복이 돼요,"Looking back on your day, there are likely tiny pleasures you hardly noticed—
warm sunlight, a delicious bite, a familiar greeting.
These small joys eventually gather to create lasting happiness.

Hold gently in your heart the little things that made you smile today.
Someday, all these tiny lights will join to shine brightly upon you.","하루를 돌아보면 별것 아닌 듯한 즐거움들이 있죠.
따뜻한 햇살, 맛있는 한 입, 반가운 인사.
그 작은 기쁨들이 모여 결국은 큰 행복을 만들어줘요.

오늘 당신이 웃게 만든 사소한 일들을 마음속에 살포시 담아보세요.
그 조그마한 빛들이 모여 언젠가 당신을 더 환히 비춰줄 거예요.","joy, small things, light","기쁨, 소소함, 빛"
Joy,"When you’re happy, the world becomes a bit kinder",당신이 행복할 때 세상도 조금 더 좋아져요,"Do you know there may be someone who smiled simply because they saw you smile?
The joy you feel quietly passes to those around you.
So allow yourself to be even happier today.
Because of you, the world softens just a little more.

And remember this:
When you’re happy, someone out there sees you and finds hope that they, too, might smile again someday.","혹시 당신이 웃는 걸 보고 같이 미소 지은 사람이 있다는 걸 아시나요?
당신이 느낀 기쁨은 고스란히 옆 사람에게도 전해져요.
그러니 오늘 조금 더 행복해져도 괜찮아요.
당신 덕분에 세상도 살짝 더 부드러워질 테니까요.

그리고 기억하세요.
당신이 행복할 때, 누군가는 당신을 보며 자신도 언젠가 웃을 수 있으리라 희망하게 된답니다.","happiness, ripple, hope","행복, 전달, 희망"
Joy,Your joy quietly protects you,당신의 기쁨은 고스란히 당신을 지켜줘요,"The small joys you’ve felt today may not seem so significant right now.
But each one gently settles deep within you, building up piece by piece, until one day they stand as a warm shield when you need comfort the most.

So when joy finds you, don’t hesitate or feel guilty—just let yourself fully feel it.
Little by little, through both joy and sorrow, you are growing stronger.","당신이 오늘 느낀 작고 소중한 기쁨들은, 어쩌면 지금은 별 대수롭지 않게 느껴질 수도 있어요.
하지만 그것들은 당신 마음속 깊은 곳에 하나씩 차곡차곡 쌓여서, 언젠가 힘들 때 당신을 지켜주는 따뜻한 방패가 될 거예요.

그러니 기쁨이 찾아올 때 머뭇거리거나 미안해하지 말고, 있는 그대로 충분히 느껴주세요.
당신은 그렇게 기쁨으로도, 슬픔으로도 조금씩 단단해지고 있는 중이에요.","joy, protection, buildup","기쁨, 보호, 쌓임"
Joy,This moment will protect you someday,지금 이 순간이 훗날 당신을 지켜줄 거예요,"The moments you laughed and found joy today will become a great source of strength for your future.
When your heart feels like it’s crumbling, this very scene may suddenly rise up to gently hold you in place.

So don’t let this happiness slip by unnoticed.
Tuck it away safely in the deepest part of your heart—one day, it will be a precious lantern on the path you must walk again.","오늘 웃고 즐겼던 이 순간들이 앞으로 당신의 미래에서 큰 힘이 될 거예요.
마음이 무너질 때, 어디선가 불쑥 오늘의 이 장면이 떠올라 당신을 살포시 붙잡아 줄 테니까요.

그러니 오늘 느낀 이 행복을 가볍게 넘기지 말고, 마음 깊은 곳에 살며시 간직해 주세요.
그 기억은 언젠가 당신이 다시 걸어가야 할 길에서 소중한 등불이 될 거예요.","memory, future, lantern","기억, 미래, 등불"
Joy,You are most beautiful when you laugh freely,마음껏 웃는 당신이 더 아름다워요,"When you laugh, a light appears on your face that isn’t there at any other time.
It almost seems like a mark showing just how much you’ve endured and held on through.

So today, don’t hold back—laugh a little louder.
There is nothing more natural, and nothing more beautiful, than you truly enjoying your happiness.","웃을 때 당신의 얼굴에는 평소에는 볼 수 없는 빛이 스며들어요.
그 빛은 당신이 얼마나 많은 것을 참고 견뎌왔는지를 보여주는 표식 같기도 해요.

오늘은 괜히 머뭇거리지 말고 더 크게 웃어보세요.
마음껏 행복해하는 당신이야말로 가장 자연스럽고, 그래서 더 아름답답니다.","laughter, natural, beauty","웃음, 자연스러움, 아름다움"
Joy,Don’t shy away from your joy,기쁨을 부끄러워하지 말아주세요,"Often, we feel strangely shy about our own happiness.
We even doubt ourselves, wondering, “Do I really deserve to be this happy?”

But you are someone who absolutely deserves to be joyful.
Your happiness is never excessive or frivolous.
Today, let yourself embrace it without any interference.","우리는 종종 행복해하는 자신을 낯설어하고, 혹은 괜히 부끄러워해요.
‘내가 이 정도로 기뻐도 되나’ 하고 스스로를 의심하기도 하죠.

하지만 당신은 지금 충분히 기뻐해도 되는 사람이에요.
당신의 기쁨은 결코 지나치거나 사치가 아니에요.
오늘만큼은 아무런 방해 없이, 그 기쁨을 맘껏 껴안아 주세요.","joy, permission, confidence","기쁨, 허락, 자신감"
